request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"487fd381-ad77-4ec4-aa91-374e5ee505a5",GET,/,"debug=true&locale=en",,302,,,,4338430908100,4338470659700,4338475740199
"e3d067df-9d1b-46d2-b409-7427c17959f0",GET,/any/system/welcome,,,200,text/html;charset=utf-8,,,4338495799600,4338497362700,4343217571400
"fec65e4a-4674-4da8-be1a-da0c7694cb6b",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,4343325227100,4343341498400,4343342650200
"839fa87a-7cad-49d8-aab3-869c437a9181",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,4343351332399,4343362051700,4343363184300
"49f4f7b0-4249-45cd-80c3-c86c91a776e0",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,4343369065300,4343416482200,4343417585299
"06e498b1-77f1-474e-a28b-28d894e68d49",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,4343423558000,4343455799399,4343456884500
"95f31bcd-2f1e-4b8e-b043-22bd5253d110",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,4343464248900,4343476188900,4343477208900
"7c886bd3-39a4-4202-854c-85c9f553f98f",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,4343483091500,4343507121200,4343508180800
"7711ce46-eb02-4c34-afde-759e33378910",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,4343513810100,4343534592400,4343535591900
"500d0502-f737-4ee9-b46a-431d4e67b7b5",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,4343541936300,4343576309700,4343577383500
"b9ad1879-a33d-4885-87d4-6d6d713a5175",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,4343582334200,4343645446200,4343646666500
"aa922fa2-a4df-4c40-a239-b2c40f3ee446",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,4343653393300,4343674231199,4343675229300
"859859b8-dd48-4269-99b2-7671bd15caa5",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,4343680129800,4343736269299,4343737247600
"b28f1fd2-43bc-44f6-af5c-056652b9613f",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,4343745607200,4343754886599,4343755782100
"9edea2ae-b156-41e0-b7bc-fc8bf9d5c4ee",GET,/images/banner.png,,,200,image/png,,,4343760745900,4343763105199,4343763879800
"62d4d39c-7903-410f-b048-235551ec0eff",GET,/images/logo.png,,,200,image/png,,,4343783606600,4343785845000,4343786683999
"baa33993-4b34-492d-953c-a06b4c42d77e",GET,/images/favicon.ico,,,200,image/x-icon,,,4343793915500,4343810450600,4343811275100
"e9630c09-0f3d-4e01-ac52-0d83a0b7d07f",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,4343815848900,4343824096000,4343825061200
"f1226f46-5c15-4221-ab44-5b6a910457ba",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,4343832057400,4343840761700,4343841674500
"43d0b2f9-f26c-4859-a584-b799c730bd91",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"remember=false&password=&username=",,4343848078500,4343852273900,4345376514400
"dea4fbc5-5380-414b-be39-623d46a78d91",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,4345403045299,4345404940700,4345405413000
"505882b7-6810-4619-a528-02dd890e94c4",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,4345410272000,4345414242000,4345416601199
"6e6b8b3e-21e2-49be-bbd7-83d74fa26fe7",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,4345425802600,4345427483600,4345427989699
"e5a05ed8-5949-4a43-ae31-507de37de36c",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,4345431951100,4345434601100,4345435386700
"7e62bd44-c4bf-41b4-873f-241706b34fee",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,4345441675700,4345443387700,4345443867100
"ab6ea492-68b5-4a28-a4f7-f905c6002fcf",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,4345450429300,4345452270800,4345452871000
"a1af49f8-b1d4-41e7-b9f5-c9374e5982b4",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,4345457469100,4345459118600,4345459664199
"53b2a47d-b8fb-4b4b-b101-f5afcf02dff8",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,4345463332200,4345464889600,4345465360100
"8383a140-0329-4bc2-bec8-bfb4a3eddcb9",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,4345471241700,4345473181000,4345473774700
"929c471e-ead3-488e-9275-a3a60297f913",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,4345478288399,4345479918600,4345480581800
"75cc4ae0-76a3-4347-aa90-a569fd9cde69",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,4345484905500,4345486725699,4345487301500
"90b252c2-8bfd-4eb2-8594-f3271540c27a",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,4345491269200,4345493156800,4345493679100
"98b4ce38-a863-473a-bbc7-8050a529d519",GET,/images/banner.png,,,200,image/png,,,4345498974700,4345501651200,4345502325700
"fa9e9cec-feac-437f-96ec-d8d4e97f37fa",GET,/images/logo.png,,,200,image/png,,,4345508099900,4345516992699,4345518086899
"665e76f0-6bf3-4ad0-91ff-a1bb8ef25018",POST,"/anonymous/system/sign-in",,"id=&password=agent1&remember=false&username=agent1&version=",302,,,,4345534971400,4345552673399,4345553635200
"22adeb01-b357-48a4-8bbd-241da8b26522",GET,/,,,302,,,,4345559470500,4345560262799,4345561268900
"0996a9c9-8f6e-4ed2-9097-ded2f8930465",GET,/any/system/welcome,,,200,text/html;charset=utf-8,,,4345564861300,4345565845100,4345693787899
